line_no	name	outcome	classification	disposition	documentation_url	observed_reason	command	status_source	classification_source
34	arch_prctl01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	arch_prctl01 arch_prctl01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
63	cacheflush01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: system doesn't support cacheflush()	cacheflush01 cacheflush01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
83	chown01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/chown/../utils/compat_tst_16.h:153: TCONF: 16-bit version of chown() is not supported on your platform	chown01_16 chown01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
85	chown02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/chown/../utils/compat_tst_16.h:153: TCONF: 16-bit version of chown() is not supported on your platform	chown02_16 chown02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
87	chown03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/chown/../utils/compat_tst_16.h:153: TCONF: 16-bit version of chown() is not supported on your platform	chown03_16 chown03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
89	chown04_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/chown/../utils/compat_tst_16.h:153: TCONF: 16-bit version of chown() is not supported on your platform	chown04_16 chown04_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
91	chown05_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/chown/../utils/compat_tst_16.h:153: TCONF: 16-bit version of chown() is not supported on your platform	chown05_16 chown05_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
127	clone10	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	clone10 clone10	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
253	file_attr01	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	../../../../include/lapi/fs.h:134: TCONF: syscall(-1) __NR_file_setattr not supported on your arch	file_attr01 file_attr01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
254	file_attr02	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	../../../../include/lapi/fs.h:124: TCONF: syscall(-1) __NR_file_getattr not supported on your arch	file_attr02 file_attr02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
